Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
McKinley Wind Park,Commercial Scale Wind,Detroit Edison,Detroit Edison,Detroit Edison,Pigeon MI,14,9,2012,GE Energy,In Service,"43.87277698°, -83.26126099°",-83.26126099,43.87277698,2.875621762554734,-1.978427813223324
McKinney Wal-Mart Wind Farm,Definition:Small Scale Wind,Wal-Mart,Bergey Windpower,Wal-Mart,McKinney TX,0.05,1,2005,Bergey Windpower,In Service,"33.220625°, -96.630571°",-96.630571,33.220625,5.2224514660513455,-2.2449391906579743
McNeilus Wind Farm I,Commercial Scale Wind,McNeilus,McNeilus,Xcel Energy,Mower County MN,9,10,2002,NEG Micon,In Service,"43.673251°, -92.665436°",-92.665436,43.673251,3.1842737528659386,-2.6863718036532735
McNeilus Wind Farm II,Commercial Scale Wind,G. McNeilus,G. McNeilus,Xcel Energy,Mower County MN,1.65,1,2003,NEG Micon,In Service,"43.673251°, -92.665436°",-92.665436,43.673251,3.1842737528659386,-2.6863718036532735
McNeilus Wind Farm III,Commercial Scale Wind,G. McNeilus,G. McNeilus,Dairyland Power /Alliant,Mower County MN,9,6,2003,NEG Micon,In Service,"43.673251°, -92.665436°",-92.665436,43.673251,3.1842737528659386,-2.6863718036532735
McNeilus Wind Farm IV,Commercial Scale Wind,G. McNeilus,G. McNeilus,Xcel Energy,Mower County MN,9.9,6,2004,NEG Micon,In Service,"43.673251°, -92.665436°",-92.665436,43.673251,3.1842737528659386,-2.6863718036532735
Meadow Creek,Commercial Scale Wind,Ridgeline Energy,Ridgeline Energy,PacifiCorp (Rocky Mountain Power),Idaho Falls ID,119.7,57,2012,Suzlon Energy Company,In Service,"43.50492362°, -111.8366146°",-111.8366146,43.50492362,1.291239686257273,-3.00955288768525
Meadow Lake II,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,91.5,61,2010,Acciona,In Service,"40.601111°, -86.864167°",-86.864167,40.601111,2.2675316675281745,-2.0226101798212563
Meadow Lake II (3Q10),Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,7.5,5,2010,Acciona,In Service,"40.601111°, -86.864167°",-86.864167,40.601111,2.2675316675281745,-2.0226101798212563
Meadow Lake III,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,103.5,69,2010,GE Energy,In Service,"40.601111°, -86.864167°",-86.864167,40.601111,2.2675316675281745,-2.0226101798212563
Meadow Lake IV,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,98.7,47,2010,Suzlon Energy Company,In Service,"40.601111°, -86.864167°",-86.864167,40.601111,2.2675316675281745,-2.0226101798212563
Meadow Lake Wind Farm,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,200,121,2009,Vestas,In Service,"40.601111°, -86.864167°",-86.864167,40.601111,2.2675316675281745,-2.0226101798212563
Meadow Ridge,Community Wind,Meadow Ridge Wind Energy LLC (community owned),,Central Iowa Power Cooperative,Greenfield IA,1.6,1,2012,GE Energy,In Service,"41.39004255°, -94.44637299°",-94.44637299,41.39004255,0.4188078291375944,0.9894161268484881
Medicine Bow Wind Farm I,Commercial Scale Wind,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Medicine Bow WY,3.3,5,1999,Vestas,In Service,"41.927554°, -106.371968°",-106.371968,41.927554,8.203426056126915,2.830635819297963
Medicine Bow Wind Farm II,Commercial Scale Wind,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Medicine Bow WY,1.32,2,2000,Vestas,In Service,"41.927554°, -106.371968°",-106.371968,41.927554,8.203426056126915,2.830635819297963
Medicine Bow Wind Farm III,Definition:Small Scale Wind,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Medicine Bow WY,0.07,1,1996,Nordtank,In Service,"41.927554°, -106.371968°",-106.371968,41.927554,8.203426056126915,2.830635819297963
Medicine Bow Wind Farm IV,Commercial Scale Wind,Platte River Power Authority,Northern Alternative Energy,Platte River Power Authority,Medicine Bow WY,1.2,2,1998,Vestas,In Service,"41.927554°, -106.371968°",-106.371968,41.927554,8.203426056126915,2.830635819297963
Mehoopany,Commercial Scale Wind,BP Wind Energy / Sempra Energy,BP Wind Energy,ODEC / SMECO,WY County PA,140.8,88,2012,GE Energy,In Service,"41.43616334°, -76.09405518°",-76.09405518,41.43616334,1.5109268620776324,0.8650415272908943
Memorial Middle School Wind Project,Community Wind,,,,SD,0,1,,SkyStream,,"43.532688°, -96.818901°",-96.818901,43.532688,2.634103149922266,-2.0310483661999954
Mendota Hills Wind Farm,Commercial Scale Wind,GE Energy,Navitas Energy,Exelon,Near Paw Paw IL,50.4,63,2003,Gamesa,In Service,"41.738291°, -89.044032°",-89.044032,41.738291,1.980404015079374,-0.3504966283221724
Meridian Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"40.317871°, -97.329475°",-97.329475,40.317871,3.024979287383994,-1.9500749659080039
Meridian Trust Wind Farm I,Commercial Scale Wind,NextEra Energy Resources,Kenetech Windpower,Southern California Edison Co,San Gorgonio CA,0.15,1,,Bonus,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Meridian Trust Wind Farm II,Commercial Scale Wind,NextEra Energy Resources,Kenetech Windpower,Southern California Edison Co,San Gorgonio CA,7.4,74,,Kenetech,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Meridian Way II Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Westar Energy/Empire District Electric,Cloud County KS,96,32,2008,Vestas,In Service,"39.43274°, -97.545217°",-97.545217,39.43274,5.079862058767931,-2.074070784381463
Meridian Way Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Westar Energy/Empire District Electric,Cloud County KS,105,35,2008,Vestas,In Service,"39.43274°, -97.545217°",-97.545217,39.43274,5.079862058767931,-2.074070784381463
Mesa County Valley Wind Project,Community Wind,,,,CO,0,1,2012,SkyStream,In Service,"39.0769°, -108.50873°",-108.50873,39.0769,3.275515210925325,2.5561302825083914
Mesalands Community College Wind Farm,Community Wind,Mesalands Community College,Mesalands Community College,Mesalands Community College,Tucumcari NM,1.5,1,2008,GE Energy,In Service,"35.170978°, -103.736088°",-103.736088,35.170978,8.340533598723827,-2.0344439357957027
Metro Wind LLC Wind Farm,Commercial Scale Wind,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Elk River - Sherbourne County MN,0.66,1,2001,Vestas,In Service,"45.379527°, -93.634011°",-93.634011,45.379527,2.3821208809128747,-2.1133756660465703
Meyersdale Wind Farm,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,FirstEnergy,Somerset County PA,30,20,2003,NEG Micon,In Service,"39.786246°, -79.004659°",-79.004659,39.786246,0.41012192128707997,0.7853981633974483
Michigan Offshore Wind Pilot Project,Offshore Wind,Mighigan Alternative and Renewable Energy Center,Mighigan Alternative and Renewable Energy Center,,Muskegon Lake MI,0.6,1,,,Proposed,"43.231°, -86.307°",-86.307,43.231,3.1636213574731253,-2.3137145090171267
Michigan Wind I Wind Farm,Commercial Scale Wind,John Deere Wind,Noble Environmental Power,Consumers Energy,Huron County MI,69,46,2008,GE Energy,In Service,"43.7099°, -82.9388°",-82.9388,43.7099,2.755303894476029,-1.91894718523366
Michigan Wind II Wind Farm,Commercial Scale Wind,Exelon Wind,Exelon Wind,Consumers Energy,Minden City MI,90,50,2011,Vestas,In Service,"43.6572421°, -82.7681278°",-82.7681278,43.6572421,3.2942374609582425,-1.8349184526155642
Mid-Atlantic Wind Park,Offshore Wind,,NRG Bluewater Wind,,Offshore from Rehoboth Beach DE,450,150,,Vestas (Anticipated),Proposed,"38.633333°, -74.775°",-74.775,38.633333,4.6245539729552565,1.403514700480051
Midwest Underground Technology,Definition:Small Scale Wind,Midwest Underground Technology,,Midwest Underground Technology,Champaign IL,0.1,1,2010,Northern Power Systems,In Service,"40.15020987°, -88.29149723°",-88.29149723,40.15020987,1.1123398446733759,-1.9579803997718903
Milford Wind Corridor Phase I (Clipper) Wind Farm,Commercial Scale Wind,First Wind,First Wind,Southern California Public Power Authority,Milford UT,145,58,2009,Clipper,In Service,"38.52227°, -112.935262°",-112.935262,38.52227,0.908019851667119,-2.2076896087543356
Milford Wind Corridor Phase I (GE Energy),Commercial Scale Wind,First Wind,First Wind,Southern California Public Power Authority,Milford UT,58.5,39,2009,GE Energy,In Service,"38.52227°, -112.935262°",-112.935262,38.52227,0.908019851667119,-2.2076896087543356
Milford Wind Corridor Phase II,Commercial Scale Wind,First Wind,First Wind,Southern California Public Power Authority,Millard and Beaver County UT,102,68,2011,GE Energy,In Service,"38.645608°, -112.878027°",-112.878027,38.645608,0.5731491758932159,-2.3191743715967417
Mill Run Wind Power Project,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,Mill Run PA,15,10,2001,GE Energy,In Service,"39.921026°, -79.388666°",-79.388666,39.921026,1.1359577285665556,2.0265700901621346
Miller Schools Wind Project,Community Wind,,,,SD,0,1,,SkyStream,,"44.521069°, -98.979942°",-98.979942,44.521069,2.1345959616875834,-1.8999541549540766
Milner Dam Wind Park,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Cassia County ID,19.5,13,2010,GE Energy,In Service,"42.495962°, -114.021106°",-114.021106,42.495962,1.3110682196706274,-0.13003138240999862
MinWind I & II Wind Farm,Commercial Scale Wind,'Farmer's Cooperative,Farmer's Cooperative with Dan Juhl,Alliant Energy,Rock County MN,3.8,4,2002,NEG Micon,In Service,"43.6748°, -96.2622°",-96.2622,43.6748,2.602153001970965,-2.356194490192345
MinWind III-IX Wind Farm,Commercial Scale Wind,,,Xcel Energy,Near Luverne MN,11.55,7,2004,NEG Micon,In Service,"43.6505°, -96.3892°",-96.3892,43.6505,2.508625112636305,-2.1919726177873473
Minco II Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Google Energy,South of Minco OK,100.8,63,2011,GE Energy,In Service,"35.346236°, -98.00364°",-98.00364,35.346236,5.490400570541906,-1.211599308619034
Minco III,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Golden Spread Electric Cooperative,Minco OK,100.8,63,2012,GE Energy,In Service,"35.35444115°, -98.13928127°",-98.13928127,35.35444115,5.430009236635252,-1.285160606077311
Minco Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,South of Minco OK,99.2,62,2010,,In Service,"35.294204°, -97.926081°",-97.926081,35.294204,5.490400570541906,-1.211599308619034
Minden Wind Park,Commercial Scale Wind,Detroit Edison,Detroit Edison,Detroit Edison,Minden City MI,25,16,2012,GE Energy,In Service,"43.637272°, -82.78022°",-82.78022,43.637272,3.2942374609582425,-1.8349184526155642
Minn-Dakota Wind Farm I,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,Xcel Energy,Lincoln County SD,54,36,2007,GE Energy,In Service,"44.385567°, -96.436572°",-96.436572,44.385567,2.288864344819295,-1.7553391183537375
Minn-Dakota Wind Farm II,Commercial Scale Wind,Iberdrola Renewables,PPM Energy Inc,Xcel Energy,Lincoln County MN,96,64,2007,GE Energy,In Service,"44.385567°, -96.436572°",-96.436572,44.385567,2.288864344819295,-1.7553391183537375
Minnesota Wind Share Wind Farm,Commercial Scale Wind,Various,Project Resources Corp.,Xcel Energy,Lake Wilson MN,5.4,3,2006,Suzlon Energy Company,In Service,"43.996°, -95.9532°",-95.9532,43.996,1.8718173067630532,-1.9483265191562902
Minnkota Power Cooperative Wind Turbine (Petersburg),Commercial Scale Wind,Minnkota Power Cooperative,Minnkota Power Cooperative,Minnkota Power Cooperative,East of Petersburg ND,0.9,1,2002,NEG Micon,In Service,"48.008793°, -97.930931°",-97.930931,48.008793,0.6122091032289173,0.9011573763473428
Minnkota Power Cooperative Wind Turbine (Valley City),Commercial Scale Wind,Minnkota Power Cooperative,Minnkota Power Cooperative,Minnkota Power Cooperative,East of Valley City - Oriska Hills ND,0.9,1,2001,NEG Micon,In Service,"46.918681°, -97.891581°",-97.891581,46.918681,2.493692011911883,-2.7245898206241783
Minonk,Commercial Scale Wind,Algonquin Power,Gamesa,Merchant,Minonk IL,200,100,2012,Gamesa,In Service,"40.8632902°, -88.94342422°",-88.94342422,40.8632902,0.7496666015440796,2.980829918532008
Minot Wind 2,Commercial Scale Wind,Prairie Winds ND 1,Basin Electric,Basin Electric,South of Minot ND,4.5,3,2009,GE Energy,In Service,"48.02516°, -101.290905°",-101.290905,48.02516,2.6261188386086496,0.7396080709346877
Missouri River Energy Services (MRES) Wind Farm (2002),Commercial Scale Wind,Missouri River Energy Services (MRES),Missouri River Energy Services (MRES) with Tom Wind,MRES/ Worthington Public Utilities,Worthington - Nobles County MN,3.6,4,2002,NEG Micon,In Service,"43.6659°, -95.7493°",-95.7493,43.6659,2.6330401349194372,-2.526199668391129
Missouri River Energy Services (MRES) Wind Farm (2003),Commercial Scale Wind,,Missouri River Energy Services,Missouri River Energy Services,Worthington County MN,1.9,2,2003,NEG Micon,In Service,"43.6659°, -95.7493°",-95.7493,43.6659,2.6330401349194372,-2.526199668391129
Moe Wind Farm,Commercial Scale Wind,,Two Dot Wind LLC,,Wheatland MT,0.5,6,2007,Vestas,In Service,"46.32°, -110.09°",-110.09,46.32,1.3790213840561072,2.3715779079577795
Mogul Energy Wind Farm,Commercial Scale Wind,,Mogul Energy,Southern California Edison Co,Tehachapi CA,4,8,,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Mojave 16-17-18 Wind Farm I,Commercial Scale Wind,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Tehachapi CA,66.75,267,1989,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Mojave 16-17-18 Wind Farm II,Commercial Scale Wind,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Tehachapi CA,18,30,1989,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Mojave 90 (3 & 5) Wind Farm,Commercial Scale Wind,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Tehachapi CA,46,184,1990,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Mojave 90 (4) Wind Farm,Commercial Scale Wind,,SeaWest,Southern California Edison Co,Tehachapi CA,29,116,1990,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Mojave/Morowind Wind Farm,Commercial Scale Wind,Tomen,Tomen,Southern California Edison Co,Tehachapi CA,35.4,59,2002,Mitsubishi,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Monhegan Island,Offshore Wind,Maine State Dept of Conservation,DeepCWind Consortium,,Atlantic Ocean ME,0.22,1,,,Proposed,"43.713°, -69.317°",-69.317,43.713,5.969807285029036,0.20068071172589386
Montana State University Wind Project,Community Wind,,,,MT,0,1,,SkyStream,,"45.662834°, -111.044098°",-111.044098,45.662834,1.8704277633103568,1.5921834391142138
Montezuma Wind Project,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Solano CA,36.8,16,2011,Siemens,In Service,"38.107973°, -121.853156°",-121.853156,38.107973,1.525549101139034,-0.24497866312686414
Montezuma Winds II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Rio Vista CA,78.2,34,2012,Vestas,In Service,"38.16867552°, -121.8061924°",-121.8061924,38.16867552,2.1746264160979614,-0.535687678925099
Montfort Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,We Energies/Alliant Energy,Montfort WI,30,20,2001,GE Energy,In Service,"42.96266°, -90.379987°",-90.379987,42.96266,4.472940771688544,-2.6119089271509592
Moorhead Wind (Freedom),Community Wind,"City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)",28th Street and 15th Avenue North,0.75,1,1999,NEG Micon,In Service,"46.895158°, -96.73081°",-96.73081,46.895158,2.37394178595027,2.9722888668670806
Moorhead Wind (Zephyr),Community Wind,"City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)",28th Street and 15th Avenue North,0.75,1,1999,NEG Micon,In Service,"46.895158°, -96.73081°",-96.73081,46.895158,2.37394178595027,2.9722888668670806
Moraine II Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Xcel Energy,Pipestone & Murray Counties MN,49.5,33,2009,GE Energy,In Service,"44.012466°, -96.114764°",-96.114764,44.012466,2.0616983620176534,-2.0279364417754797
Moraine Wind Power Project,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,Xcel Energy,Pipestone and Murray Counties MN,51,34,2003,GE Energy,In Service,"43.993574°, -96.047301°",-96.047301,43.993574,2.0616983620176534,-2.0279364417754797
Morning Light,Commercial Scale Wind,MidAmerican Energy,Clipper Windpower Development Company,MidAmerican Energy,Casey IA,101.2,44,2012,Siemens,In Service,"41.44819506°, -94.58280087°",-94.58280087,41.44819506,0.34234485881979293,1.4536875860423226
Moulton Chandler Hills Wind Farm Phase II,Commercial Scale Wind,Great River Energy,EnXco,Great River Energy,Near Chandler MN,1.98,3,2001,Vestas,In Service,"43.9189°, -95.9557°",-95.9557,43.9189,2.1750631940584126,-2.1830288889407155
Mount Nittany Elementary School Wind Turbine,Community Wind,State College Area School District,,State College Area School District,PA,0,0,2013,SkyStream,In Service,"40.785214935489°, -77.805540293439°",-77.805540293439,40.785214935489,1.4202112576834767,0.5235128789176671
Mount St. Mary's Abbey,Definition:Small Scale Wind,Mount St. Mary's Abbey,Sustainable Energy Developments,Mount St. Mary's Abbey,Wrentham MA,0.1,1,2009,,In Service,"42.033096°, -71.393711°",-71.393711,42.033096,2.2500222221114905,0.004444415081620425
Mount Wachusetts Community College Wind Project,Community Wind,Mount Wachusetts Community College,Mount Wachusetts Community College,Mount Wachusetts Community College,Gardner MA,3.3,2,2011,Vestas,In Service,"42.58855651°, -71.98396683°",-71.98396683,42.58855651,4.714965624719354,-0.1661946928072767
Mount Wachusetts Wind Farm,Commercial Scale Wind,Princeton Municipal Light,CEI - Iberdrola,Princeton Municipal Light,Near Princeton MA,3,2,2009,,In Service,"42.588458°, -71.98387°",-71.98387,42.588458,4.714965624719354,-0.1661946928072767
Mountain Air,Commercial Scale Wind,Terna Energy,Terna Energy,Idaho Power,Hammett ID,138,60,2012,Vestas,In Service,"42.98719519°, -115.3985024°",-115.3985024,42.98719519,1.830109329262129,0.010928526152868472
Mountain Home Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,Idaho Power,Elmore County ID,42,20,2009,Suzlon Energy Company,In Service,"43.268356°, -116.167939°",-116.167939,43.268356,2.852174503250413,-0.8275567824925888
Mountain View Grand,Definition:Small Scale Wind,Mountain View Grand,Sustainable Energy Developments,Mountain View Grand,Mountain View Grand Resort & Spa NH,0.1,1,2009,Northern Power Systems,In Service,"44.397987°, -71.590306°",-71.590306,44.397987,3.755582401099431,-0.2695215458484634
Mountain View IV,Commercial Scale Wind,AES Wind Generation,AES Wind Generation,Southern California Edison Co,White Water CA,49,49,2012,Mitsubishi,In Service,"33.95475187°, -116.7015839°",-116.7015839,33.95475187,2.8259688047771476,-0.10635869987052236
Mountain View Power Partners I Wind Farm,Commercial Scale Wind,MDU Resources,SeaWest,L.A. Department of Water Resources,San Gorgonio CA,44.4,74,2001,Mitsubishi,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Mountain View Power Partners II Wind Farm,Commercial Scale Wind,MDU Resources,SeaWest,L.A. Department of Water Resources,San Gorgonio CA,22.2,37,2001,Mitsubishi,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Mountain View Power Partners III Wind Farm,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,San Diego Gas & Electric,San Gorgonio CA,22.44,34,2003,Vestas,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Mountain Wind I Wind Farm,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,PacifiCorp,WY,60.9,29,2008,Suzlon Energy Company,In Service,"41.275629°, -110.539488°",-110.539488,41.275629,5.611167554124318,-2.841259355231419
Mountain Wind II Wind Farm,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,PacifiCorp,WY,79.8,38,2008,Suzlon Energy Company,In Service,"41.275629°, -110.539488°",-110.539488,41.275629,5.611167554124318,-2.841259355231419
Mountaineer Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,Thomas WV,66,44,2002,NEG Micon,In Service,"39.163081°, -79.554516°",-79.554516,39.163081,1.1065261189002082,3.032931442495573
Mower County Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,Mower County MN,98.9,43,2006,Siemens,In Service,"43.695822°, -92.649608°",-92.649608,43.695822,3.1842737528659386,-2.6863718036532735
Mozart,Commercial Scale Wind,WKN USA LLC,WKN USA LLC,Merchant (ERCOT),Kent County TX,30,12,2012,Nordex,In Service,"32.99176°, -100.53093°",-100.53093,32.99176,9.11427977871563,-2.976263596863819
Mt Peak Utility,Definition:Small Scale Wind,Mnt Peak Utility,,Mnt Peak Utility,Midlothian TX,0.1,1,2010,Northern Power Systems,In Service,"32.42144978°, -97.02427357°",-97.02427357,32.42144978,7.658002159947242,-2.260017188122797
Mt. Edgecumbe High School Wind Project,Community Wind,,,,AK,0,1,,SkyStream,,"57.053928°, -135.356903°",-135.356903,57.053928,3.6648875432728976,3.051426836274721
Mullen High School Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.045742°, -101.046158°",-101.046158,42.045742,2.2100905340260923,-1.5798458531502222
Munnsville Wind Farm,Commercial Scale Wind,Airtricity,Airtricity,,Near Munnsville NY,34.5,23,2007,GE Energy,In Service,"42.948685°, -75.563024°",-75.563024,42.948685,2.079639325656562,0.09631938723168579
Murray Various Wind Farm,Commercial Scale Wind,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,MN,10,8,2005,Suzlon Energy Company,In Service,"43.982665°, -96.01146°",-96.01146,43.982665,1.8718173067630532,-1.9483265191562902
Musselshell I,Commercial Scale Wind,Goldwind,Volkswind USA,NorthWestern Energy,Ryegate MT,10,7,2012,Goldwind,In Service,"46.282969°, -109.470112°",-109.470112,46.282969,2.563122998385428,2.740799189046436
Musselshell II,Commercial Scale Wind,Goldwind,Volkswind USA,NorthWestern Energy,Ryegate MT,10,7,2012,Goldwind,In Service,"46.26733°, -109.499175°",-109.499175,46.26733,2.543717691933351,2.4201739091713876
Mustang Hills,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150,50,2012,Vestas,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Mustang Island Offshore Wind Farm,Offshore Wind,Baryonyx Corporation,Baryonyx Corporation,,Offshore from Mustang Island TX,NaN,200,,,Proposed,"27.66°, -97.01°",-97.01,27.66,4.357728748489216,1.7717922330702738
N.A.T.I.V.E. District Kayenta Wind Project 1,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"36.721901°, -110.244672°",-110.244672,36.721901,1.263170583318677,1.1638255309665484
N.A.T.I.V.E. District Kayenta Wind Project 2,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"36.721972°, -110.245012°",-110.245012,36.721972,1.263170583318677,1.1638255309665484
N.A.T.I.V.E. District Kayenta Wind Project 3,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"36.72162°, -110.244673°",-110.244673,36.72162,1.263170583318677,1.1638255309665484
NCCI Gardner Dept of Correction,Community Wind,Department of Corrections - Division of Capital Asset Management for the Commonwealth of MA,Department of Corrections - Division of Capital Asset Management for the Commonwealth of MA,Distributed generation - net metered,Westminster MA,3.3,2,2011,Vestas,In Service,"42.5800093°, -71.93783283°",-71.93783283,42.5800093,4.714965624719354,-0.1661946928072767
NREL Research Wind Farm I,Commercial Scale Wind,,National Renewable Energy Laboratory,,South of Boulder CO,1.5,1,2009,GE Energy,In Service,"39.907848°, -105.223407°",-105.223407,39.907848,0.4110961046662529,-0.854254636827434
NREL Research Wind Farm II,Commercial Scale Wind,,National Renewable Energy Laboratory,,South of Boulder CO,2.3,1,2009,Siemens,In Service,"39.90849°, -105.223278°",-105.223278,39.90849,0.4110961046662529,-0.854254636827434
Nantucket School,Definition:Small Scale Wind,Nantucket School,,Nantucket School,Nantucket MA,0.1,1,2010,Northern Power Systems,In Service,"41.27214604°, -70.09777308°",-70.09777308,41.27214604,6.490061446605805,0.11116769329373145
Nature's Classroom Wind Turbine,Definition:Small Scale Wind,Nature's Classroom,,Nature's Classroom,Charlton MA,0.1,1,2009,Northern Power Systems,In Service,"42.113685°, -72.008475°",-72.008475,42.113685,2.547096347865033,-0.07466409571927084
NedPower Mount Storm II Wind Farm,Commercial Scale Wind,Shell Wind Energy/Dominion Energy,NedPower/Shell Wind Energy/Dominion Energy,Dominion Energy,Grant County WV,100,50,2008,Gamesa,In Service,"39.251507°, -79.178989°",-79.178989,39.251507,0.028284270615259174,0.7853981633974483
NedPower Mount Storm Wind Farm,Commercial Scale Wind,Shell Wind Energy/Dominion Energy,NedPower/Shell Wind Energy/Dominion Energy,Dominion Energy,Grant County WV,164,82,2008,Gamesa,In Service,"39.251507°, -79.178989°",-79.178989,39.251507,0.028284270615259174,0.7853981633974483
Nederland High School Wind Project,Community Wind,,,,CO,0,1,2012,SkyStream,In Service,"39.95356°, -105.52509°",-105.52509,39.95356,0.8809086170177588,3.0961693749363173
Neppel Wind Power Project,Commercial Scale Wind,,Alliant Energy,Alliant/IES Utilities,Armstrong IA,1.5,1,2004,Vestas,In Service,"43.402001°, -94.578989°",-94.578989,43.402001,4.142378430703555,-3.0376002185097426
Nestle Waters,Community Wind,Foundation Windpower,Foundation Windpower,Nestle Waters,Cabazon CA,3,2,2012,GE Energy,In Service,"33.916949°, -116.749931°",-116.749931,33.916949,2.8259688047771476,-0.10635869987052236
Nevada High School Wind Farm,Community Wind,Nevada High School,Minnesota Windpower,Alliant/IES Utilities,NV - Story County IA,0.5,2,1998,WindWorld,In Service,"42.020791°, -93.435997°",-93.435997,42.020791,1.727425858691128,0.09275631659268936
New England Tech Wind Turbine,Definition:Small Scale Wind,New England Institute of Technology,,New England Institute of Technology,Warwick RI,0.1,1,2009,,In Service,"41.732743°, -71.451466°",-71.451466,41.732743,2.902412904719,0.12435499454676144
New Harvest,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,ComEd and Ameren Illinois,Schleswig IA,100,50,2012,Gamesa,In Service,"42.16197194°, -95.44696569°",-95.44696569,42.16197194,2.415884974852011,0.4358769552505614
New London,Commercial Scale Wind,,Shermco Industries,,New London IA,1.5,1,2011,VENSYS,In Service,"40.95478446°, -91.39509201°",-91.39509201,40.95478446,1.522662123604686,-3.0824511741252034
New Mexico Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Public Service New Mexico,Quay & DeBaca Counties NM,204,136,2003,GE Energy,In Service,"34.548414°, -104.084157°",-104.084157,34.548414,10.254959771994816,-2.375502416940136
